GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
39001770100,140,39,001,99999,999,,,Census Tract 7701,4864,2210,4868,2044,4864,4868,4735,4763,28,7,16,28,4,6,0,0,13,8,68,56
39001770200,140,39,001,99999,999,,,Census Tract 7702,4815,2053,4635,1897,4815,4635,4734,4554,11,9,16,25,9,6,0,1,7,4,38,36
39001770300,140,39,001,99999,999,,,Census Tract 7703,6964,2891,6212,2437,6964,6212,6848,6088,24,15,21,38,7,5,1,1,7,11,56,54
39001770600,140,39,001,99999,999,,,Census Tract 7706,3517,1840,3531,1731,3517,3531,3406,3444,5,4,14,22,2,5,0,0,16,3,74,53
39003010100,140,39,003,30620,338,,,Census Tract 101,4405,1608,4187,1499,4405,4187,4206,4098,71,28,8,2,39,22,0,0,29,7,52,30
39003010600,140,39,003,30620,338,,,Census Tract 106,5138,2019,5019,1930,5138,5019,5005,4936,21,23,5,8,15,4,0,0,13,3,79,45
39003010800,140,39,003,30620,338,,,Census Tract 108,7994,3319,7350,2805,7994,7350,7407,6991,304,179,12,10,109,65,0,1,52,39,110,65
39003010900,140,39,003,30620,338,,,Census Tract 109,4515,1877,4377,1748,4515,4377,3761,3752,585,501,6,5,38,46,5,2,43,17,77,54
39003011200,140,39,003,30620,338,,,Census Tract 112,4218,579,2956,549,4218,2956,3132,2142,968,724,0,19,12,9,0,0,70,28,36,34
39003011400,140,39,003,30620,338,,,Census Tract 114,3056,1241,2936,1110,3056,2936,3003,2893,18,9,4,4,8,3,0,1,7,6,16,20
39003011500,140,39,003,30620,338,,,Census Tract 115,2783,1109,2850,1066,2783,2850,2731,2799,13,2,1,10,7,3,0,0,6,4,25,32
39003011600,140,39,003,30620,338,,,Census Tract 116,2693,1213,2672,1122,2693,2672,2550,2573,64,62,9,6,1,0,0,0,15,7,54,24
39003011900,140,39,003,30620,338,,,Census Tract 119,3208,1396,3372,1366,3208,3372,3033,3208,69,80,9,4,17,14,0,0,41,35,39,31
39003012000,140,39,003,30620,338,,,Census Tract 120,2410,1003,2278,886,2410,2278,2211,2052,122,124,2,2,41,72,2,1,1,8,31,19
39003012200,140,39,003,30620,338,,,Census Tract 122,3291,1518,3265,1497,3291,3265,2290,2428,710,635,4,13,30,47,1,0,57,50,199,92
39003012300,140,39,003,30620,338,,,Census Tract 123,4052,1691,4179,1729,4052,4179,3262,3611,536,424,8,15,13,3,0,1,38,30,195,95
39003012400,140,39,003,30620,338,,,Census Tract 124,2710,1228,2738,1298,2710,2738,1993,2267,473,374,7,3,14,16,1,0,40,15,182,63
39003012600,140,39,003,30620,338,,,Census Tract 126,1834,872,2049,994,1834,2049,1510,1771,250,221,8,3,9,8,0,0,14,14,43,32
39003013000,140,39,003,30620,338,,,Census Tract 130,3993,2032,4294,2087,3993,4294,3065,3420,691,738,13,4,12,11,1,0,36,24,175,97
39003013100,140,39,003,30620,338,,,Census Tract 131,2313,1095,2435,1099,2313,2435,1968,2183,248,187,4,1,15,12,0,0,13,11,65,41
39003013300,140,39,003,30620,338,,,Census Tract 133,1290,624,1446,687,1290,1446,634,756,569,601,10,12,4,4,0,0,4,16,69,57
39003013400,140,39,003,30620,338,,,Census Tract 134,2549,1343,3081,1478,2549,3081,1517,1878,814,1035,15,21,9,15,0,0,43,38,151,94
39003013600,140,39,003,30620,338,,,Census Tract 136,1375,596,1545,639,1375,1545,742,902,526,553,9,5,3,5,1,1,11,23,83,56
39003013700,140,39,003,30620,338,,,Census Tract 137,1156,537,1404,596,1156,1404,417,462,675,884,3,4,1,1,0,0,22,27,38,26
39003013800,140,39,003,30620,338,,,Census Tract 138,2728,1387,2763,1371,2728,2763,1073,1001,1514,1679,9,8,1,0,0,0,18,12,113,63
39003013900,140,39,003,30620,338,,,Census Tract 139,3406,1454,3477,1427,3406,3477,3333,3415,16,14,5,3,6,9,0,1,13,6,33,29
39003014000,140,39,003,30620,338,,,Census Tract 140,3309,1337,3296,1254,3309,3296,3249,3262,13,5,3,5,6,4,0,0,10,11,28,9
39003014100,140,39,003,30620,338,,,Census Tract 141,2151,1094,2610,1314,2151,2610,1413,1586,608,885,3,14,6,22,0,0,32,36,89,67
39005970100,140,39,005,11740,999,,,Census Tract 9701,8353,3123,7412,2627,8353,7412,8166,7287,28,39,30,9,18,12,0,0,11,8,100,57
39005970200,140,39,005,11740,999,,,Census Tract 9702,5845,2309,5366,2016,5845,5366,5752,5308,20,6,10,4,4,2,4,1,6,4,49,41
39005970300,140,39,005,11740,999,,,Census Tract 9703,3895,1647,4215,1626,3895,4215,3789,4099,16,47,9,3,17,22,7,1,7,8,50,35
39005970700,140,39,005,11740,999,,,Census Tract 9707,5288,2471,4868,2155,5288,4868,5098,4731,47,31,5,1,87,76,6,0,9,6,36,23
39005970900,140,39,005,11740,999,,,Census Tract 9709,4943,1957,4631,1760,4943,4631,4866,4573,17,11,5,6,9,20,6,0,15,1,25,20
39005971000,140,39,005,11740,999,,,Census Tract 9710,4779,2173,4721,1959,4779,4721,4706,4596,10,80,6,3,8,4,0,1,10,15,39,22
39007000101,140,39,007,11780,184,,,Census Tract 1.01,4554,1667,3065,1473,4554,3065,3597,2987,861,18,6,7,13,8,1,0,25,3,51,42
39007000103,140,39,007,11780,184,,,Census Tract 1.03,3721,1809,4425,2015,3721,4425,3500,4220,68,61,15,6,25,27,1,6,12,11,100,94
39007000300,140,39,007,11780,184,,,Census Tract 3,2214,990,2413,1004,2214,2413,2092,2319,31,45,5,1,21,24,0,0,14,7,51,17
39007000400,140,39,007,11780,184,,,Census Tract 4,1794,974,1943,942,1794,1943,1663,1833,51,49,3,5,4,18,1,3,28,3,44,32
39007000500,140,39,007,11780,184,,,Census Tract 5,4265,2094,4561,2117,4265,4561,3947,4397,118,63,3,5,20,16,1,1,33,15,143,64
39007000601,140,39,007,11780,184,,,Census Tract 6.01,2746,1323,3197,1359,2746,3197,2357,2825,207,243,8,12,16,10,1,3,45,43,112,61
39007000602,140,39,007,11780,184,,,Census Tract 6.02,3428,1689,3787,1700,3428,3787,3174,3609,103,94,10,5,14,18,0,0,20,14,107,47
39007000603,140,39,007,11780,184,,,Census Tract 6.03,4101,2387,4121,2113,4101,4121,3661,3737,156,225,26,7,17,23,3,0,127,73,111,56
39007000701,140,39,007,11780,184,,,Census Tract 7.01,3292,1615,3526,1550,3292,3526,2241,2289,625,889,19,23,6,9,1,2,152,195,248,119
39007000702,140,39,007,11780,184,,,Census Tract 7.02,2971,1283,3111,1247,2971,3111,2842,3012,38,44,2,0,18,15,0,0,33,16,38,24
39007000703,140,39,007,11780,184,,,Census Tract 7.03,3873,1606,4067,1586,3873,4067,3005,3345,426,450,18,11,5,12,0,0,215,159,204,90
39007000704,140,39,007,11780,184,,,Census Tract 7.04,4041,1990,4484,2031,4041,4484,3525,4038,235,245,9,5,13,25,1,2,97,67,161,102
39007000802,140,39,007,11780,184,,,Census Tract 8.02,5187,2316,5505,2260,5187,5505,4933,5288,51,33,16,7,26,15,0,0,76,83,85,75
39007000900,140,39,007,11780,184,,,Census Tract 9,4780,2080,5101,2049,4780,5101,4523,4839,66,71,9,10,9,14,0,2,100,62,73,103
39007001001,140,39,007,11780,184,,,Census Tract 10.01,5564,2573,5343,2244,5564,5343,5416,5213,64,56,9,4,12,11,2,1,6,8,55,47
39007001002,140,39,007,11780,184,,,Census Tract 10.02,3465,1507,3327,1314,3465,3327,3379,3246,20,35,3,3,4,7,1,0,12,4,46,29
39007001400,140,39,007,11780,184,,,Census Tract 14,8256,3063,7322,2648,8256,7322,8008,6999,103,165,15,15,18,13,0,1,14,28,98,101
39007990000,140,39,007,11780,184,,,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39009972700,140,39,009,11900,999,,,Census Tract 9727,3981,1961,4218,1974,3981,4218,3794,4068,86,64,17,20,3,9,2,0,10,7,69,50
39009972900,140,39,009,11900,999,,,Census Tract 9729,5391,2561,5362,2381,5391,5362,4822,4897,161,157,20,18,199,159,2,0,16,20,171,111
39009973101,140,39,009,11900,999,,,Census Tract 9731.01,4527,1021,3683,1041,4527,3683,4052,3415,223,136,9,3,111,64,4,2,37,23,91,40
39009973200,140,39,009,11900,999,,,Census Tract 9732,4830,2301,4320,2051,4830,4320,4136,3790,208,168,9,10,338,239,0,0,27,18,112,95
39009973300,140,39,009,11900,999,,,Census Tract 9733,3721,1806,3170,1480,3721,3170,3145,2789,166,122,3,12,302,163,1,3,27,15,77,66
39009973400,140,39,009,11900,999,,,Census Tract 9734,3347,1661,3549,1666,3347,3549,3114,3338,68,56,4,4,46,68,1,1,9,11,105,71
39009973500,140,39,009,11900,999,,,Census Tract 9735,3428,1707,3466,1545,3428,3466,3035,3122,178,190,26,25,11,2,0,0,13,13,165,114
39009973600,140,39,009,11900,999,,,Census Tract 9736,3972,1869,4086,1806,3972,4086,3868,4018,26,19,9,9,7,9,0,0,6,6,56,25
39009973700,140,39,009,11900,999,,,Census Tract 9737,4140,1877,3967,1734,4140,3967,3992,3822,41,53,8,11,27,15,0,0,2,3,70,63
39009973901,140,39,009,11900,999,,,Census Tract 9739.01,6462,681,6229,614,6462,6229,5476,5702,340,205,8,8,469,195,1,4,26,36,142,75
39009973902,140,39,009,11900,999,,,Census Tract 9739.02,3494,1202,3071,1043,3494,3071,3256,2689,57,111,2,2,109,163,2,1,9,25,59,78
39011040100,140,39,011,47540,338,,,Census Tract 401,4025,1597,3984,1530,4025,3984,3960,3919,9,5,12,11,4,4,0,0,16,4,24,41
39011040200,140,39,011,47540,338,,,Census Tract 402,4142,1754,4153,1606,4142,4153,4074,4045,19,18,3,4,5,10,0,5,8,7,33,64
39011040300,140,39,011,47540,338,,,Census Tract 403,3645,1639,3646,1613,3645,3646,3540,3572,22,11,7,8,8,8,1,0,26,9,41,34
39011040500,140,39,011,47540,338,,,Census Tract 405,5021,1977,4944,1797,5021,4944,4944,4847,8,8,11,11,36,35,0,0,1,13,21,29
39011041000,140,39,011,47540,338,,,Census Tract 410,3649,1450,3577,1280,3649,3577,3622,3556,1,0,2,2,4,4,2,0,3,1,15,14
39011041100,140,39,011,47540,338,,,Census Tract 411,3992,1640,4378,1501,3992,4378,3916,4316,12,24,9,3,4,5,1,1,12,7,38,21
39011041201,140,39,011,47540,338,,,Census Tract 412.01,1893,1118,1965,1087,1893,1965,1836,1921,3,5,4,2,18,16,6,0,7,3,19,14
39011041202,140,39,011,47540,338,,,Census Tract 412.02,5271,2345,5475,2282,5271,5475,5091,5352,21,16,7,8,36,46,6,0,32,11,78,40
39013010200,140,39,013,48540,999,,,Census Tract 102,3905,1986,4156,2026,3905,4156,3659,3937,152,175,3,2,12,8,0,0,3,8,76,22
39013010300,140,39,013,48540,999,,,Census Tract 103,3425,1567,3456,1493,3425,3456,3353,3429,28,13,1,0,10,0,0,0,4,2,29,8
39013010600,140,39,013,48540,999,,,Census Tract 106,3712,1909,3477,1722,3712,3477,3641,3413,32,32,9,3,4,5,0,0,5,1,21,23
39013010700,140,39,013,48540,999,,,Census Tract 107,2695,1211,2495,1068,2695,2495,2611,2447,10,3,4,6,25,9,0,0,9,1,36,23
39013010900,140,39,013,48540,999,,,Census Tract 109,6798,3098,6640,2895,6798,6640,6597,6538,57,44,7,3,37,14,0,0,4,4,96,37
39013011300,140,39,013,48540,999,,,Census Tract 113,4019,1967,4104,1982,4019,4104,3977,4080,8,4,3,3,6,2,4,0,0,2,21,12
39013011400,140,39,013,48540,999,,,Census Tract 114,4499,2068,4759,2008,4499,4759,4413,4691,48,37,0,1,8,5,0,0,6,0,24,22
39013011500,140,39,013,48540,999,,,Census Tract 115,1640,858,1851,955,1640,1851,1571,1795,42,38,3,0,0,0,0,0,0,0,24,13
39013011600,140,39,013,48540,999,,,Census Tract 116,1250,642,1351,733,1250,1351,1140,1241,75,73,4,1,4,1,0,0,0,0,27,31
39013011900,140,39,013,48540,999,,,Census Tract 119,3071,1495,3163,1551,3071,3163,2852,2984,156,127,7,14,2,1,0,2,4,6,50,29
39013012100,140,39,013,48540,999,,,Census Tract 121,1277,777,1412,882,1277,1412,1163,1319,68,68,3,0,4,0,0,0,1,3,38,18
39013012200,140,39,013,48540,999,,,Census Tract 122,6288,1559,5426,1284,6288,5426,4675,4094,1543,1239,1,10,14,12,1,0,28,31,26,35
39013012300,140,39,013,48540,999,,,Census Tract 123,4104,2027,3883,1881,4104,3883,3968,3721,51,53,3,3,37,69,0,1,8,7,37,29
39015951201,140,39,015,17140,178,,,Census Tract 9512.01,4427,1954,9120,3455,4427,9120,4332,8957,13,50,6,17,18,9,1,1,10,10,47,73
39015951202,140,39,015,17140,178,,,Census Tract 9512.02,5041,1998,5081,1806,5041,5081,4940,5012,25,18,10,7,5,6,0,0,5,2,56,33
39015951300,140,39,015,17140,178,,,Census Tract 9513,7777,3001,6435,2425,7777,6435,7617,6378,34,10,6,10,33,6,2,0,16,1,69,30
39015951400,140,39,015,17140,178,,,Census Tract 9514,4393,1832,4408,1708,4393,4408,4339,4351,13,23,11,2,7,3,0,0,3,1,20,28
39015951500,140,39,015,17140,178,,,Census Tract 9515,5423,2454,4896,2066,5423,4896,5317,4798,39,47,13,20,3,3,0,0,12,2,39,26
39015951900,140,39,015,17140,178,,,Census Tract 9519,6143,2511,5741,2213,6143,5741,6036,5693,22,14,12,7,10,3,0,1,19,6,44,17
39017000100,140,39,017,17140,178,,,Census Tract 1,4639,2106,4718,2087,4639,4718,4230,4613,175,69,10,4,14,7,6,1,125,11,79,9
39017000300,140,39,017,17140,178,,,Census Tract 3,3349,1597,3961,1689,3349,3961,1181,1244,1760,2411,5,8,10,2,10,1,240,208,143,87
39017000400,140,39,017,17140,178,,,Census Tract 4,4944,1697,4317,1883,4944,4317,3002,3066,864,869,32,19,10,17,20,12,833,266,183,68
39017000500,140,39,017,17140,178,,,Census Tract 5,4575,2010,4821,2023,4575,4821,3870,4570,255,103,13,7,11,12,0,1,293,62,133,66
39017000600,140,39,017,17140,178,,,Census Tract 6,5017,2239,5315,2263,5017,5315,4414,5005,208,128,14,17,18,24,0,0,153,86,210,55
39017001001,140,39,017,17140,178,,,Census Tract 10.01,5464,2481,5008,2115,5464,5008,5001,4793,257,117,9,4,44,26,0,1,28,14,125,51
39017001100,140,39,017,17140,178,,,Census Tract 11,4550,2189,4876,2203,4550,4876,4145,4656,165,66,6,17,7,9,1,0,56,41,170,84
39017010101,140,39,017,17140,178,,,Census Tract 101.01,6819,2617,7444,2536,6819,7444,6292,6954,192,239,4,12,159,113,1,3,43,24,128,99
39017010102,140,39,017,17140,178,,,Census Tract 101.02,2749,1321,2757,1185,2749,2757,2435,2468,112,148,5,8,100,63,0,0,31,14,66,56
39017010103,140,39,017,17140,178,,,Census Tract 101.03,5308,2839,5357,2455,5308,5357,4499,4904,206,196,10,5,434,165,0,2,22,26,137,59
39017010104,140,39,017,17140,178,,,Census Tract 101.04,5265,126,5237,194,5265,5237,4576,4738,270,259,12,8,280,135,0,0,24,31,103,66
39017010202,140,39,017,17140,178,,,Census Tract 102.02,4194,1750,4081,1587,4194,4081,4032,3989,71,30,6,6,14,10,1,2,8,8,62,36
39017010203,140,39,017,17140,178,,,Census Tract 102.03,5515,2064,5328,1872,5515,5328,5421,5265,16,10,19,14,7,7,0,0,9,8,43,24
39017010302,140,39,017,17140,178,,,Census Tract 103.02,3550,1336,3328,1191,3550,3328,3449,3286,10,7,5,5,7,3,0,0,0,3,79,21
39017010500,140,39,017,17140,178,,,Census Tract 105,2377,933,2543,974,2377,2543,2197,2370,116,132,6,16,2,2,2,0,2,3,52,20
39017010903,140,39,017,17140,178,,,Census Tract 109.03,5328,2130,5876,2155,5328,5876,4494,5359,507,318,12,4,107,131,0,1,58,20,150,43
39017010906,140,39,017,17140,178,,,Census Tract 109.06,7155,3136,6711,2921,7155,6711,4900,5804,1305,575,25,16,155,170,6,1,522,40,242,105
39017010908,140,39,017,17140,178,,,Census Tract 109.08,5300,2697,5325,2582,5300,5325,3729,4552,1135,465,9,6,136,187,1,2,148,42,142,71
39017010909,140,39,017,17140,178,,,Census Tract 109.09,4716,2418,3752,2137,4716,3752,2748,2979,1129,444,31,14,310,193,3,6,336,54,159,62
39017010910,140,39,017,17140,178,,,Census Tract 109.10,4780,2037,4591,1817,4780,4591,4150,4327,412,150,3,1,107,75,0,0,38,5,70,30
39017010911,140,39,017,17140,178,,,Census Tract 109.11,4226,1568,4058,1399,4226,4058,3827,3825,212,133,4,0,81,66,12,0,32,5,58,26
39017011002,140,39,017,17140,178,,,Census Tract 110.02,12210,4284,7229,2506,12210,7229,10713,6898,911,175,22,7,259,59,4,3,98,10,203,71
39017011004,140,39,017,17140,178,,,Census Tract 110.04,6001,2514,4565,1711,6001,4565,4318,4296,1005,159,11,6,161,47,8,0,315,19,183,35
39017011109,140,39,017,17140,178,,,Census Tract 111.09,4389,1803,4584,1785,4389,4584,3788,4233,291,117,26,12,134,120,2,1,55,27,93,71
39017011110,140,39,017,17140,178,,,Census Tract 111.10,5250,1996,5049,1832,5250,5049,4904,4831,127,61,11,2,97,97,3,0,19,13,89,45
39017011111,140,39,017,17140,178,,,Census Tract 111.11,6730,2497,7096,2347,6730,7096,6010,6569,151,112,17,23,361,311,11,3,55,20,125,58
39017011112,140,39,017,17140,178,,,Census Tract 111.12,5537,1797,4061,1244,5537,4061,4650,3679,491,155,8,7,270,149,1,2,21,19,96,50
39017011116,140,39,017,17140,178,,,Census Tract 111.16,8529,2568,5629,1739,8529,5629,7339,5278,491,151,10,10,518,125,1,1,47,15,123,44
39017011117,140,39,017,17140,178,,,Census Tract 111.17,11039,3607,7284,2443,11039,7284,9640,6831,596,196,31,13,396,163,3,2,173,20,200,58
39017011122,140,39,017,17140,178,,,Census Tract 111.22,5068,2318,2710,1369,5068,2710,3340,1943,724,478,7,9,844,105,4,1,33,94,116,77
39017011126,140,39,017,17140,178,,,Census Tract 111.26,4811,2079,4656,1911,4811,4656,3395,4002,529,203,8,6,447,319,22,6,276,53,134,63
39017011129,140,39,017,17140,178,,,Census Tract 111.29,4246,1523,4327,1472,4246,4327,3556,3823,368,211,11,6,191,238,2,0,48,10,70,36
39017011130,140,39,017,17140,178,,,Census Tract 111.30,5167,2196,5313,2152,5167,5313,4330,4876,216,152,10,12,189,194,65,1,266,21,91,54
39017011200,140,39,017,17140,178,,,Census Tract 112,7802,3178,4379,1895,7802,4379,7275,4241,245,44,16,4,104,33,0,0,55,19,107,35
39017011300,140,39,017,17140,178,,,Census Tract 113,5044,1911,3002,1046,5044,3002,4513,2890,216,71,10,1,88,8,1,0,158,9,58,23
39017011800,140,39,017,17140,178,,,Census Tract 118,5845,2094,4368,1614,5845,4368,5703,4293,29,22,11,6,22,6,1,0,9,11,70,28
39017012100,140,39,017,17140,178,,,Census Tract 121,3245,1293,3402,1346,3245,3402,3179,3348,15,7,4,10,7,1,3,1,3,9,34,26
39017012200,140,39,017,17140,178,,,Census Tract 122,3226,1717,3903,1936,3226,3903,2942,3715,144,105,7,11,8,2,0,0,22,9,103,61
39017012300,140,39,017,17140,178,,,Census Tract 123,2028,992,2167,967,2028,2167,1917,2122,73,20,1,0,1,4,1,0,6,4,29,17
39017012400,140,39,017,17140,178,,,Census Tract 124,2322,1027,2409,937,2322,2409,2216,2334,66,37,0,0,14,18,1,2,2,3,23,15
39017012500,140,39,017,17140,178,,,Census Tract 125,4812,2185,5189,2195,4812,5189,4320,4817,351,261,2,8,49,44,0,4,25,6,65,49
39017012600,140,39,017,17140,178,,,Census Tract 126,2467,1174,2611,1169,2467,2611,2286,2476,109,84,2,0,18,13,2,1,10,5,40,32
39017012700,140,39,017,17140,178,,,Census Tract 127,2983,1394,3117,1434,2983,3117,2764,3025,120,41,11,15,5,4,2,0,10,8,71,24
39017013100,140,39,017,17140,178,,,Census Tract 131,2105,1053,2624,1102,2105,2624,906,1144,965,1359,3,19,10,1,0,0,73,18,148,83
39017013200,140,39,017,17140,178,,,Census Tract 132,3327,1570,3838,1595,3327,3838,2811,3583,347,156,10,10,3,11,0,0,45,9,111,69
39017013300,140,39,017,17140,178,,,Census Tract 133,2134,1003,2248,969,2134,2248,2019,2169,60,49,2,0,8,6,0,0,15,4,30,20
39017013500,140,39,017,17140,178,,,Census Tract 135,2876,1287,2903,1285,2876,2903,2585,2791,107,56,9,12,8,5,0,3,120,4,47,32
39017013600,140,39,017,17140,178,,,Census Tract 136,5064,2672,5173,2585,5064,5173,3936,4471,744,566,11,9,26,18,7,1,171,35,169,73
39017014000,140,39,017,17140,178,,,Census Tract 140,2687,1211,2534,1139,2687,2534,1590,1402,853,1047,8,3,7,1,3,2,96,20,130,59
39017014100,140,39,017,17140,178,,,Census Tract 141,2276,956,2488,1012,2276,2488,1893,2140,251,265,10,15,5,15,4,3,26,25,87,25
39017014300,140,39,017,17140,178,,,Census Tract 143,4574,1765,4390,1611,4574,4390,4475,4307,31,30,4,5,13,9,0,4,6,4,45,28
39017014400,140,39,017,17140,178,,,Census Tract 144,1882,1181,2117,1219,1882,2117,1559,1876,225,194,10,0,2,8,0,0,16,4,70,35
39017014600,140,39,017,17140,178,,,Census Tract 146,1037,546,1598,563,1037,1598,823,1269,125,202,2,21,7,2,0,0,49,56,31,48
39017014700,140,39,017,17140,178,,,Census Tract 147,4202,1790,4529,1789,4202,4529,3834,4303,165,82,8,10,12,33,2,1,65,22,116,75
39017014800,140,39,017,17140,178,,,Census Tract 148,6773,2942,6860,2818,6773,6860,6405,6540,159,151,20,21,42,47,2,3,14,27,131,68
39017015000,140,39,017,17140,178,,,Census Tract 150,7629,2935,6913,2536,7629,6913,7442,6816,56,27,16,9,25,21,5,0,10,4,75,32
39017015100,140,39,017,17140,178,,,Census Tract 151,6818,2649,5350,2091,6818,5350,6495,5249,92,29,7,12,35,18,1,0,28,8,160,32
39019720400,140,39,019,15940,999,,,Census Tract 7204,4318,2190,4293,2050,4318,4293,4238,4235,11,4,18,20,4,4,0,1,4,4,43,25
39019720500,140,39,019,15940,999,,,Census Tract 7205,5397,2382,5114,2260,5397,5114,5305,5040,14,16,2,12,17,4,0,0,7,3,52,39
39019720600,140,39,019,15940,999,,,Census Tract 7206,3451,1576,3551,1513,3451,3551,3390,3498,9,6,9,21,7,5,0,0,3,3,33,18
39019720700,140,39,019,15940,999,,,Census Tract 7207,3253,2067,3274,1971,3253,3274,3208,3238,3,6,6,2,3,3,0,0,1,3,32,22
39021010400,140,39,021,46500,212,,,Census Tract 104,4150,1824,3966,1752,4150,3966,3843,3766,116,88,20,7,3,9,1,0,48,25,119,68
39021010500,140,39,021,46500,212,,,Census Tract 105,4070,1983,4242,1971,4070,4242,3775,3962,125,168,7,5,29,15,0,0,14,20,120,69
39021010600,140,39,021,46500,212,,,Census Tract 106,4130,1798,3952,1662,4130,3952,3514,3377,385,420,25,29,50,18,0,3,28,19,128,84
39021011001,140,39,021,46500,212,,,Census Tract 110.01,2702,1069,2729,1046,2702,2729,2650,2639,16,44,5,9,8,7,0,0,10,7,13,20
39021011505,140,39,021,46500,212,,,Census Tract 115.05,3313,1301,2974,1188,3313,2974,3190,2901,34,28,15,5,2,11,2,1,5,8,65,19
39021011506,140,39,021,46500,212,,,Census Tract 115.06,2996,1246,2896,1167,2996,2896,2897,2837,15,21,12,6,12,2,0,0,3,4,57,23
39023000200,140,39,023,44220,212,,,Census Tract 2,1559,862,1865,960,1559,1865,462,430,873,1351,8,6,5,1,0,0,97,22,114,55
39023000400,140,39,023,44220,212,,,Census Tract 4,2229,1213,2355,1278,2229,2355,1802,2033,260,254,15,9,2,10,0,0,69,12,81,35
39023000901,140,39,023,44220,212,,,Census Tract 9.01,2475,1221,2900,1402,2475,2900,1711,2312,559,456,7,22,2,8,0,0,54,33,142,68
39023001101,140,39,023,44220,212,,,Census Tract 11.01,1452,623,1524,686,1452,1524,408,434,843,996,5,3,6,1,0,0,78,11,112,79
39023001200,140,39,023,44220,212,,,Census Tract 12,4245,1974,5002,2165,4245,5002,2165,2809,1663,1954,17,28,8,2,0,1,115,36,277,172
39023001300,140,39,023,44220,212,,,Census Tract 13,4124,1823,4352,1875,4124,4352,3595,4048,308,199,15,8,12,7,3,0,53,33,138,57
39023001600,140,39,023,44220,212,,,Census Tract 16,3885,1692,3986,1670,3885,3986,3723,3826,81,80,6,9,10,17,2,0,11,3,52,51
39023001700,140,39,023,44220,212,,,Census Tract 17,2665,1145,2789,1154,2665,2789,2259,2427,233,257,9,7,30,16,0,0,27,15,107,67
39023001900,140,39,023,44220,212,,,Census Tract 19,2865,1397,3002,1358,2865,3002,2617,2842,128,87,3,3,31,20,1,0,25,12,60,38
39023002000,140,39,023,44220,212,,,Census Tract 20,2205,898,2221,880,2205,2221,2127,2147,22,13,6,12,23,28,0,0,9,0,18,21
39023002200,140,39,023,44220,212,,,Census Tract 22,4358,1776,4714,1804,4358,4714,4166,4486,122,124,8,19,12,22,1,1,8,5,41,57
39023002301,140,39,023,44220,212,,,Census Tract 23.01,3238,1276,10548,2399,3238,10548,3148,8902,13,1429,9,29,8,59,2,0,2,35,56,90
39023002404,140,39,023,44220,212,,,Census Tract 24.04,3112,1614,3277,1605,3112,3277,2635,2922,296,210,5,3,93,79,0,4,11,6,72,51
39023002605,140,39,023,44220,212,,,Census Tract 26.05,3858,1475,3359,1238,3858,3359,3659,3253,93,61,5,0,24,12,1,0,12,4,64,25
39023002606,140,39,023,44220,212,,,Census Tract 26.06,7726,3519,6948,3057,7726,6948,7328,6618,218,179,6,4,47,83,1,0,36,7,90,55
39023002701,140,39,023,44220,212,,,Census Tract 27.01,3173,1312,3336,1291,3173,3336,2945,3231,12,12,5,14,12,10,0,0,158,23,41,46
39023002702,140,39,023,44220,212,,,Census Tract 27.02,2681,1116,2762,1116,2681,2762,2329,2633,2,8,3,3,12,10,0,1,298,83,37,24
39023003002,140,39,023,44220,212,,,Census Tract 30.02,3574,1486,4269,1739,3574,4269,3455,4151,34,30,13,13,5,20,0,0,14,10,53,41
39023003101,140,39,023,44220,212,,,Census Tract 31.01,2517,1137,2578,1043,2517,2578,2400,2505,18,25,5,2,33,16,0,0,6,6,55,24
39023003102,140,39,023,44220,212,,,Census Tract 31.02,1878,840,1586,659,1878,1586,1821,1546,5,2,5,9,18,12,0,0,6,1,23,16
39023003200,140,39,023,44220,212,,,Census Tract 32,2798,1189,2736,1109,2798,2736,2646,2589,85,110,11,2,7,4,2,0,4,3,43,28
39023003301,140,39,023,44220,212,,,Census Tract 33.01,3577,1477,5780,2279,3577,5780,3454,5218,34,449,11,12,12,24,0,0,47,22,19,53
39023003302,140,39,023,44220,212,,,Census Tract 33.02,2543,1149,2796,1153,2543,2796,2487,2708,11,41,1,6,3,13,0,1,7,8,34,19
39023003400,140,39,023,44220,212,,,Census Tract 34,3700,1679,4886,2150,3700,4886,3002,4242,434,414,11,30,11,11,7,0,90,48,145,137
39023003700,140,39,023,44220,212,,,Census Tract 37,4633,2276,4747,2108,4633,4747,3983,4381,377,262,6,6,117,31,1,0,35,11,114,52
39025040102,140,39,025,17140,178,,,Census Tract 401.02,2689,1016,2921,1040,2689,2921,2632,2874,16,16,5,2,5,1,0,1,0,1,31,26
39025040202,140,39,025,17140,178,,,Census Tract 402.02,2177,861,2159,768,2177,2159,2137,2131,8,1,1,3,5,6,0,1,0,4,26,13
39025040203,140,39,025,17140,178,,,Census Tract 402.03,6195,2372,5078,1914,6195,5078,6042,5017,30,8,9,4,28,10,1,1,18,1,67,37
